id,type,status,tiny_link,title,content,is_internal
167576345,page,current,/x/GQP9CQ,"Order Management, Transactions","Operations: Daily Stand-Up Call Weekly Updates Management Incident Analysis - Reduction TFS Defects, Stories << Last Release Backlog/ Future Releases Upcoming Release >> Deployments - Lessons Learned SNOW Dashboard Recurring Issues RT Meeting: Minutes Data Security & Compliance: Global Privacy and Compliance Program (GPC) OMEGA Optics Script for Update Testing - PWC Order Processing: ORM - Error Codes & Description Resources: Team Contacts New Hire - Welcome Document Weekend Rota Sample OOO Setup Materials Interfaces Architecture Functional Documents (Sharepoint) Code Snippets (Sharepoint) Welcome! This is the home page for your knowledge base space within Confluence. You can use your knowledge base to capture best practices and address common problems. Next, you might want to: 1 complete Create your first knowledge base article - Click ""Create"" and select a ""How-to"" or ""Troubleshooting"" article. 2 incomplete Customise the home page - Click ""Edit"" to get started. Include useful information like what users can expect to find in this knowledge base, frequently asked questions and links to other resources. Frequently asked questions Add links to popular how-to and troubleshooting articles. Highlight important documentation. Need more help? Link to resources such as your service desk, questions & answers or a forum. List contacts for getting additional help. Other resources Include links to relevant external sites and services. Add other helpful information. Browse by topic kb-how-to-article,kb-troubleshooting-article Recently updated articles page,blogpost true",False
167576397,page,current,/x/TQP9CQ,Platform,,False
167576400,page,current,/x/UAP9CQ,Astra,,False
167577015,page,current,/x/twX9CQ,Abacus,,False
167577017,page,current,/x/uQX9CQ,Order Store,,False
167577021,page,current,/x/vQX9CQ,Platform Services,,False
172261573,page,current,/x/xYBECg,Common AR,,False
172261575,page,current,/x/x4BECg,Veritas,"Veritas is a PO Match Order and AR, Application to streamline Dell Invoicing process. This solution should improve the practice in customer ERP system. Hence the final invoice send from Dell system should have sufficient information for their 3 way match; PO, Invoice, Receiving document validation. This solution should meet the expectation of channel partners and distributors who expects invoice with purchase order match and item match (With custom PO information from customer ERP) details from Dell system and transfer automated invoice in partner system.",False
172261577,page,current,/x/yYBECg,Global Invoice Visibility,,False
172261584,page,current,/x/0IBECg,Flexbilling,,False
172261586,page,current,/x/0oBECg,Flex Ordering,,False
172721286,page,current,/x/hoRLCg,Flex billing Knowledge base,,False
172721350,page,current,/x/xoRLCg,Flex Ordering Wiki,,False
